Название документа,Автор,Дата создания,Шрифт,Размер шрифта,Верхнее поле (см),Нижнее поле (см),Левое поле (см),Правое поле (см),Межстрочный интервал,Отступ абзаца (см),Наличие колонтитулов,Наличие нумерации страниц,Наличие титульного листа,Верно ли оформлены заголовки,Есть ли содержание с правильными отступами,Верно ли оформлены ссылки,Верно ли оформлены таблицы,Верно ли оформлены рисунки,Соответствует ли оформление списков,Правильно ли оформлены приложения,Верно ли указаны реквизиты документа,Соответствует ГОСТ
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 1,Евгения Эльдаровна Русакова,17.12.2021,Times New Roman,16,2.0,2.5,3.0,1.0,1.0,1.25,True,True,False,True,False,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 2,Баранова Валерия Владимировна,20.10.2021,Arial,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,False,True,True,False,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 3,Святослав Викторович Никонов,03.07.2022,Times New Roman,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,False,False,True,False,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 4,Нинель Рубеновна Артемьева,26.05.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,False,True,False,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 5,Ермакова Полина Вячеславовна,11.09.2021,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 6,Влас Виленович Прохоров,12.03.2025,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,False,True,True,True,True,True,True,False,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 7,Лариса Ефимовна Киселева,29.12.2022,Times New Roman,14,2.0,2.5,3.0,1.0,1.5,1.25,True,True,False,True,False,False,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 8,Тарас Абрамович Стрелков,20.03.2022,Times New Roman,13,1.5,2.0,2.5,1.0,1.5,1.5,True,True,True,True,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 9,Иосиф Ефимьевич Селиверстов,21.05.2025,Times New Roman,14,2.0,2.5,2.5,1.5,2.0,1.25,False,True,True,True,True,True,True,False,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 10,Артемий Богданович Баранов,16.12.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.0,1.25,True,False,False,False,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 11,Савватий Всеволодович Гришин,05.06.2021,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,1.25,False,False,True,False,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 12,Селиверст Юльевич Зиновьев,17.07.2022,Times New Roman,14,2.5,2.5,3.0,1.5,1.5,1.25,True,True,True,True,True,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 13,Бобылева Лора Владимировна,07.03.2023,Verdana,13,2.0,2.0,3.0,1.0,1.5,1.25,False,False,True,True,True,False,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 14,Леонид Фёдорович Смирнов,27.09.2023,Times New Roman,14,2.0,2.0,3.0,1.0,2.0,1.25,True,True,True,True,False,False,True,True,False,True,False,False
